,Player,Salary,Year
439,Guerschon Yabusele,1039080,2019
440,Terance Mann,1000000,2019
441,Admiral Schofield,1000000,2019
442,Justin Hamilton,1000000,2019
443,Jonathon Simmons,1000000,2019
444,Kyle Singler,999200,2019
445,Vlatko Cancar,898310,2019
446,Javonte Green,898310,2019
447,Nicolas Claxton,898310,2019
448,Caleb Martin,898310,2019
449,Jalen McDaniels,898310,2019
450,Daniel Gafford,898310,2019
451,Eric Paschall,898310,2019
452,Alen Smailagic,898310,2019
453,Talen Horton-Tucker,898310,2019
454,KZ Okpala,898310,2019
455,Naz Reid,898310,2019
456,Ignas Brazdeikis,898310,2019
457,Jalen Lecque,898310,2019
458,Justin James,898310,2019
459,Dewan Hernandez,898310,2019
460,Matt Thomas,898310,2019
461,DaQuan Jeffries,898310,2019
462,Terence Davis,898310,2019
463,Miye Oni,898310,2019
464,Damion Lee,842327,2019
465,Timothe Luwawu,837583,2019
466,Raymond Spalding,787994,2019
467,Juwan Morgan,746054,2019
468,Cole Aldrich,685340,2019
469,Shaun Livingston,666666,2019
470,Rayjon Tucker,578573,2019
471,Chris Clemons,563346,2019
472,Brandon Goodwin,522738,2019
473,Tyrone Wallace,502491,2019
474,Max Strus,494568,2019
475,Anzejs Pasecniks,482144,2019
476,Chris Silva,466918,2019
477,Dakari Johnson,459414,2019
478,Ivan Rabb,451326,2019
479,Iman Shumpert,419443,2019
480,Justin Robinson,395865,2019
481,Ky Bowman,350189,2019
482,Juan Toscano-Anderson,350189,2019
483,Norvel Pelle,350189,2019
484,CJ Watson,333333,2019
485,Festus Ezeli,333333,2019
486,Deyonta Davis,250000,2019
487,Stanton Kidd,250000,2019
488,Joe Johnson,220000,2019
489,William Howard,209136,2019
490,Jontay Porter,197932,2019
491,Jemerrio Jones,195077,2019
492,Mychal Mulder,187782,2019
493,Joe Chealey,163356,2019
494,Josh Magette,161245,2019
495,Johnathan Williams,161245,2019
496,Chris Chiozza,159136,2019
497,Cameron Payne,150000,2019
498,Tyler Cook,131955,2019
499,Zach Norvell,130320,2019
500,Paul Watson,130319,2019
501,Levi Randolph,129568,2019
502,Oshae Brissett,129568,2019
503,Troy Williams,122741,2019
504,JP Macura,106181,2019
505,Donta Hall,101504,2019
506,Jaylen Adams,100000,2019
507,Yante Maten,100000,2019
508,Demetrius Jackson,92857,2019
509,Justin Anderson,91557,2019
510,Jeremy Pargo,91557,2019
511,Chasson Randle,91557,2019
512,Sheldon Mac,81678,2019
513,Dusty Hannahs,81678,2019
514,Jarrod Uthoff,81678,2019
515,Charlie Brown,79568,2019
516,Tacko Fall,79568,2019
517,Tremont Waters,79568,2019
518,Henry Ellenson,79568,2019
519,Jeremiah Martin,79568,2019
520,Robert Franks,79568,2019
521,Kobi Simmons,79568,2019
522,Adam Mokoka,79568,2019
523,Matt Mooney,79568,2019
524,Dean Wade,79568,2019
525,Antonius Cleveland,79568,2019
526,Josh Reaves,79568,2019
527,Bol Bol,79568,2019
528,PJ Dozier,79568,2019
529,Jordan Bone,79568,2019
530,Louis King,79568,2019
531,Michael Frazier,79568,2019
532,Brian Bowen,79568,2019
533,Naz Long,79568,2019
534,Amir Coffey,79568,2019
535,Johnathan Motley,79568,2019
536,Kostas Antetokounmpo,79568,2019
537,Devontae Cacok,79568,2019
538,John Konchar,79568,2019
539,Yuta Watanabe,79568,2019
540,Kyle Alexander,79568,2019
541,Daryl Macon,79568,2019
542,Gabe Vincent,79568,2019
543,Frank Mason,79568,2019
544,Cam Reynolds,79568,2019
545,Jordan McLaughlin,79568,2019
546,Kelan Martin,79568,2019
547,Zylan Cheatham,79568,2019
548,Josh Gray,79568,2019
549,Kadeem Allen,79568,2019
550,Kenny Wooten,79568,2019
551,Luguentz Dort,79568,2019
552,Devon Hall,79568,2019
553,Kevin Hervey,79568,2019
554,BJ Johnson,79568,2019
555,Vic Law,79568,2019
556,Marial Shayok,79568,2019
557,Jared Harper,79568,2019
558,Tariq Owens,79568,2019
559,Moses Brown,79568,2019
560,Jaylen Hoard,79568,2019
561,Kyle Guy,79568,2019
562,Drew Eubanks,79568,2019
563,Quinndary Weatherspoon,79568,2019
564,Shamorie Ponds,79568,2019
565,Jarrell Brantley,79568,2019
566,Justin Wright-Foreman,79568,2019
567,Garrison Mathews,79568,2019
568,Malik Newman,65978,2019
569,Sir'Dominic Pointer,50752,2019
570,Marques Bolden,50751,2019
571,Eric Mika,50751,2019
572,Tyler Lydon,50000,2019
573,Tyler Ulis,50000,2019
574,Isaiah Taylor,50000,2019
